Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,18.39,-17.45,-90.0,top
C2,2.2uF,C_0603_1608Metric,26.1175,-17.37,90.0,top
C3,100nF,C_0603_1608Metric,24.27058,-7.985,0.0,top
C4,12pF,C_0603_1608Metric,31.725,-14.75,0.0,top
C5,12pF,C_0603_1608Metric,31.75,-21.0,0.0,top
J2,Conn_02x05_Odd_Even,PinHeader_2x05_P2.54mm_Vertical_SMD,27.0,-36.5,90.0,top
LDO1,TPS70933DBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,22.2,-17.45,180.0,top
LED1,XL-2012SURC,LED0805-RD_RED,42.82,-10.35,90.0,top
Q1,DMC2400UV-13,SOT-563_L1.6-W1.2-P0.50-LS1.6-BL,21.25,-25.425,0.0,top
R1,5.1k,R_0603_1608Metric,12.0425,-10.2725,0.0,top
R2,5.1k,R_0603_1608Metric,12.0425,-14.4925,0.0,top
R3,1M0,R_0603_1608Metric,18.75,-25.75,90.0,top
R4,220,R_0603_1608Metric,40.02,-9.525,-90.0,top
R5,10k,R_0603_1608Metric,24.27058,-6.336,0.0,top
R6,10k,R_0603_1608Metric,24.253838,-4.685,0.0,top
R7,1M5,R_0603_1608Metric,24.0,-25.675,90.0,top
R8,1M,R_0603_1608Metric,8.8675,-5.955,0.0,top
R9,180k,R_0603_1608Metric,26.0,-25.675,-90.0,top
R10,1M0,R_0603_1608Metric,21.25,-23.175,0.0,top
RESET1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,43.75,-37.25,0.0,top
SW1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,49.135,-10.4,0.0,top
SW3,MSK12C02,SW-TH_MSK12C02,2.1975,-22.465,-90.0,top
U1,E73-2G4M08S1C,WIRELM-SMD_E73-2G4M08S1C,43.76,-21.83,90.0,top
U3,SHTC3-10000,DFN-4_L2.0-W2.0-P1.00-BL-EP,28.561,-6.0675,90.0,top
USBC1,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12,5.3525,-12.3,-90.0,top
X1,AFC20-S02ACA-00,CONN-SMD_AFC20-S02ACA-00,5.0,-32.625,90.0,top
X2,XDMCZLNDDF-0.032768MHZ,CRYSTAL-SMD_L3.2-W1.5-1,31.75,-18.0,-90.0,top
