Comment,Designator,Footprint,LCSC
100nF,C3,C_0603_1608Metric,C14663
1uF,C1,C_0603_1608Metric,C15849
SM04B-SRSS-TB (LF)(SN),CN2,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,C160404
180k,R9,R_0603_1608Metric,C22827
1M0,"R10,R3",R_0603_1608Metric,C22935
220,R4,R_0603_1608Metric,C22962
2.2uF,C2,C_0603_1608Metric,C23630
10k,"R5,R6",R_0603_1608Metric,C25804
AFC20-S02ACA-00,X1,CONN-SMD_AFC20-S02ACA-00,C2764211
SHTC3-10000,U3,DFN-4_L2.0-W2.0-P1.00-BL-EP,C2880044
TS-1187A-B-A-B,"RESET1,SW1",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,C318884
XDMCZLNDDF-0.032768MHZ,X2,CRYSTAL-SMD_L3.2-W1.5-1,C32346
E73-2G4M08S1C,U1,WIRELM-SMD_E73-2G4M08S1C,C356849
12pF,"C4,C5",C_0603_1608Metric,C38523
1M5,R7,R_0603_1608Metric,C4172
FTSH-105-01-L-DV-K-TR,CN1,CONN-SMD_FTSH-105-01-L-DV-K-TR,C448647
DMC2400UV-13,Q1,SOT-563_L1.6-W1.2-P0.50-LS1.6-BL,C500791
XL-2012SURC,LED1,LED0805-RD_RED,C84256
TPS70933DBVR,LDO1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C89347
