Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,8.1,-8.4,180.0,top
C2,2.2uF,C_0603_1608Metric,11.6,-8.4,180.0,top
C3,100nF,C_0603_1608Metric,17.5,-5.25,180.0,top
C4,12pF,C_0603_1608Metric,14.75,-7.75,0.0,top
C5,12pF,C_0603_1608Metric,14.75,-13.75,0.0,top
CN1,FTSH-105-01-L-DV-K-TR,CONN-SMD_FTSH-105-01-L-DV-K-TR,25.795,-25.7,-90.0,top
CN2,SM04B-SRSS-TB (LF)(SN),CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,9.8,-3.0375,180.0,top
LDO1,TPS70933DBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,12.0,-11.25,180.0,top
LED1,XL-2012SURC,LED0805-RD_RED,19.5,-26.5,90.0,top
Q1,DMC2400UV-13,SOT-563_L1.6-W1.2-P0.50-LS1.6-BL,14.5,-19.5,180.0,top
R3,1M0,R_0603_1608Metric,17.0,-19.5,-90.0,top
R4,220,R_0603_1608Metric,17.25,-26.5,90.0,top
R5,10k,R_0603_1608Metric,14.75,-3.75,90.0,top
R6,10k,R_0603_1608Metric,20.0,-3.75,90.0,top
R7,1M5,R_0603_1608Metric,13.0,-16.25,90.0,top
R9,180k,R_0603_1608Metric,14.75,-16.175,-90.0,top
R10,1M0,R_0603_1608Metric,14.5,-22.0,180.0,top
RESET1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,10.1,-26.1,0.0,top
SW1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,25.7,-3.4,0.0,top
U1,E73-2G4M08S1C,WIRELM-SMD_E73-2G4M08S1C,26.975,-14.25,90.0,top
U3,SHTC3-10000,DFN-4_L2.0-W2.0-P1.00-BL-EP,17.5,-3.25,90.0,top
X1,AFC20-S02ACA-00,CONN-SMD_AFC20-S02ACA-00,4.9,-15.0,90.0,top
X2,XDMCZLNDDF-0.032768MHZ,CRYSTAL-SMD_L3.2-W1.5-1,15.25,-10.75,-90.0,top
